host_id 	 HOST0
vm_id 	 i-7513431D
vm_cpu 	 4

tax 	 1.75
pool_id 	 None
state 	 undo_ovc_33
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-7513431D
vm_cpu 	 4

tax 	 1.875
pool_id 	 None
state 	 undo_ovc_34
default_cpu 	 32
host_cpu 	 2
host_id 	 HOST0
vm_id 	 i-95624038
vm_cpu 	 2

tax 	 1.8125
pool_id 	 lc1_AZ6_i-BBAA3F40
state 	 undo_ovc_35
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-BBAA3F40
vm_cpu 	 2

tax 	 1.75
pool_id 	 lc1_AZ6_i-F23243CD
state 	 undo_ovc_36
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-F23243CD
vm_cpu 	 4

tax 	 1.625
pool_id 	 lc1_AZ6_i-455D3FB0
state 	 undo_ovc_37
default_cpu 	 32
host_cpu 	 8
host_id 	 HOST0
vm_id 	 i-455D3FB0
vm_cpu 	 4

tax 	 1.5
pool_id 	 lc1_AZ6_i-A80E40E4
state 	 undo_ovc_38
default_cpu 	 32
host_cpu 	 12
host_id 	 HOST0
vm_id 	 i-A80E40E4
vm_cpu 	 4

tax 	 1.375
pool_id 	 lc1_AZ6_i-CC7D3CEE
state 	 undo_ovc_39
default_cpu 	 32
host_cpu 	 16
host_id 	 HOST0
vm_id 	 i-CC7D3CEE
vm_cpu 	 4

tax 	 1.25
pool_id 	 lc1_AZ6_i-C23D4047
state 	 undo_ovc_40
default_cpu 	 32
host_cpu 	 20
host_id 	 HOST0
vm_id 	 i-C23D4047
vm_cpu 	 4

tax 	 1.125
pool_id 	 lc1_AZ6_i-83DE454F
state 	 do_ovc_41
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-83DE454F
vm_cpu 	 4

tax 	 1.125
pool_id 	 lc1_AZ6_i-E6353F7D
state 	 do_ovc_42
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-E6353F7D
vm_cpu 	 4

tax 	 1.125
pool_id 	 lc1_AZ6_i-D6413D98
state 	 do_ovc_43
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-D6413D98
vm_cpu 	 4

tax 	 1.125
pool_id 	 lc1_AZ6_i-2FC941E1
state 	 do_ovc_44
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-2FC941E1
vm_cpu 	 4

tax 	 1.0625
pool_id 	 None
state 	 do_ovc_45
default_cpu 	 32
host_cpu 	 0
host_id 	 HOST0
vm_id 	 i-52E1405F
vm_cpu 	 2

tax 	 1.3125
pool_id 	 lc1_AZ6_i-83DE454F
state 	 undo_ovc_46
default_cpu 	 32
host_cpu 	 4
host_id 	 HOST0
vm_id 	 i-83DE454F
vm_cpu 	 4

tax 	 1.1875
pool_id 	 lc1_AZ6_i-E6353F7D
state 	 undo_ovc_47
default_cpu 	 32
host_cpu 	 8
host_id 	 HOST0
