[INFO    | Chave_serial| best_host ] --> 	AZ4	 Best host for i-261C3FE2-regular (vcpu:4) is NODE3 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE3 defined for i-261C3FE2 t:regular, az:AZ4
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-261C3FE2 in h:NODE3 t:regular az:AZ4
[INFO    | Physical| force_set_host_on ] --> NEW state: NODE3 turned on? True
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE3: 4
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ4	 New max host on: 4 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 674.64 WH
[INFO    | Chave_serial| best_host ] --> 	AZ4	 Best host for i-0B284069-regular (vcpu:4) is NODE3 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE3 defined for i-0B284069 t:regular, az:AZ4
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-0B284069 in h:NODE3 t:regular az:AZ4
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE3: 8
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ4	 New max host on: 4 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 690.08 WH
[INFO    | Chave_serial| best_host ] --> 	AZ4	 Best host for i-C11E42E0-regular (vcpu:4) is NODE4 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE4 defined for i-C11E42E0 t:regular, az:AZ4
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-C11E42E0 in h:NODE4 t:regular az:AZ4
[INFO    | Physical| force_set_host_on ] --> NEW state: NODE4 turned on? True
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE4: 4
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ4	 New max host on: 5 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 847.16 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-99154091-regular (vcpu:2) is NODE0 (cpu:32.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-99154091 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-99154091 in h:NODE0 t:regular az:AZ6
[INFO    | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 2
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 1 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 147.1 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-3CCE40C0-regular (vcpu:4) is NODE0 (cpu:30.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-3CCE40C0 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-3CCE40C0 in h:NODE0 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 6
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 1 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 166.61 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-6DE03E61-regular (vcpu:30) is NODE1 (cpu:32.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE1 defined for i-6DE03E61 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-6DE03E61 in h:NODE1 t:regular az:AZ6
[INFO    | Physical| force_set_host_on ] --> NEW state: NODE1 turned on? True
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE1: 30
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 2 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 373.61 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-C8A04700-regular (vcpu:4) is NODE0 (cpu:26.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-C8A04700 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-C8A04700 in h:NODE0 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 10
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 2 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 385.66 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-9B463E30-regular (vcpu:4) is NODE0 (cpu:22.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-9B463E30 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-9B463E30 in h:NODE0 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 14
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 2 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 399.67 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-C28346EF-regular (vcpu:4) is NODE0 (cpu:18.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-C28346EF t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-C28346EF in h:NODE0 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 18
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 2 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 405.46 WH
